"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2023","1,823.69","1,823.85","1,823.94","1,823.85","","-0.04%"
"03/01/2023","1,839.49","1,826.14","1,850.69","1,824.42","","0.87%"
"04/01/2023","1,854.09","1,839.51","1,865.49","1,835.92","","0.79%"
"05/01/2023","1,833.19","1,854.19","1,859.36","1,824.68","","-1.13%"
"06/01/2023","1,865.71","1,833.27","1,870.37","1,830.53","","1.77%"
"09/01/2023","1,871.59","1,865.45","1,881.80","1,864.59","","0.32%"
"10/01/2023","1,877.27","1,871.66","1,881.04","1,867.37","","0.30%"
"11/01/2023","1,876.38","1,877.30","1,887.09","1,866.75","","-0.05%"
"12/01/2023","1,896.86","1,876.43","1,901.88","1,873.64","","1.09%"
"13/01/2023","1,920.21","1,897.03","1,922.24","1,891.80","","1.23%"
"16/01/2023","1,918.00","1,920.39","1,929.24","1,910.74","","-0.12%"
"17/01/2023","1,908.39","1,917.81","1,919.83","1,903.51","","-0.50%"
"18/01/2023","1,903.76","1,908.46","1,926.30","1,896.56","","-0.24%"
"19/01/2023","1,931.39","1,903.83","1,935.40","1,900.48","","1.45%"
"20/01/2023","1,926.57","1,931.48","1,937.72","1,920.58","","-0.25%"
"23/01/2023","1,931.30","1,926.20","1,935.69","1,911.44","","0.25%"
"24/01/2023","1,937.45","1,931.35","1,942.93","1,916.82","","0.32%"
"25/01/2023","1,945.93","1,937.54","1,948.12","1,919.88","","0.44%"
"26/01/2023","1,928.99","1,946.09","1,949.27","1,918.74","","-0.87%"
"27/01/2023","1,927.34","1,929.40","1,935.15","1,916.65","","-0.09%"
"30/01/2023","1,922.52","1,928.40","1,934.61","1,920.58","","-0.25%"
"31/01/2023","1,927.88","1,922.82","1,931.15","1,900.74","","0.28%"
"01/02/2023","1,950.42","1,927.92","1,954.63","1,920.56","","1.17%"
"02/02/2023","1,912.37","1,950.54","1,959.77","1,911.33","","-1.95%"
"03/02/2023","1,865.53","1,912.57","1,918.72","1,861.41","","-2.45%"
"06/02/2023","1,867.36","1,865.17","1,881.54","1,860.39","","0.10%"
"07/02/2023","1,873.81","1,867.39","1,884.45","1,864.94","","0.35%"
"08/02/2023","1,875.59","1,874.05","1,886.28","1,867.40","","0.09%"
"09/02/2023","1,861.39","1,875.64","1,890.69","1,858.89","","-0.76%"
"10/02/2023","1,864.67","1,861.68","1,872.31","1,852.69","","0.18%"
"13/02/2023","1,853.39","1,865.69","1,866.83","1,850.42","","-0.60%"
"14/02/2023","1,854.29","1,853.67","1,871.03","1,843.20","","0.05%"
"15/02/2023","1,836.19","1,854.35","1,860.18","1,830.20","","-0.98%"
"16/02/2023","1,837.44","1,836.56","1,845.45","1,827.18","","0.07%"
"17/02/2023","1,841.59","1,837.52","1,843.77","1,818.34","","0.23%"
"20/02/2023","1,841.14","1,842.73","1,847.86","1,837.09","","-0.02%"
"21/02/2023","1,834.32","1,841.71","1,844.44","1,829.70","","-0.37%"
"22/02/2023","1,825.04","1,834.71","1,846.26","1,823.05","","-0.51%"
"23/02/2023","1,822.64","1,825.12","1,834.43","1,817.55","","-0.13%"
"24/02/2023","1,810.81","1,822.74","1,827.98","1,808.91","","-0.65%"
"27/02/2023","1,817.31","1,812.01","1,820.22","1,806.68","","0.36%"
"28/02/2023","1,827.15","1,817.38","1,831.27","1,804.65","","0.54%"
"01/03/2023","1,836.81","1,827.24","1,845.05","1,823.05","","0.53%"
"02/03/2023","1,836.00","1,837.20","1,838.94","1,829.44","","-0.04%"
"03/03/2023","1,854.97","1,836.10","1,856.47","1,834.51","","1.03%"
"06/03/2023","1,846.85","1,855.35","1,858.84","1,845.08","","-0.44%"
"07/03/2023","1,813.52","1,846.92","1,852.26","1,812.72","","-1.80%"
"08/03/2023","1,813.59","1,813.61","1,824.38","1,809.40","","0.00%"
"09/03/2023","1,830.89","1,813.65","1,835.56","1,811.84","","0.95%"
"10/03/2023","1,867.83","1,830.96","1,870.28","1,827.71","","2.02%"
"13/03/2023","1,913.23","1,869.01","1,914.79","1,869.01","","2.43%"
"14/03/2023","1,902.12","1,913.19","1,914.52","1,895.17","","-0.58%"
"15/03/2023","1,918.10","1,903.91","1,937.46","1,885.78","","0.84%"
"16/03/2023","1,919.12","1,920.54","1,934.12","1,907.55","","0.05%"
"17/03/2023","1,987.93","1,920.00","1,989.80","1,918.33","","3.59%"
"20/03/2023","1,978.71","1,987.59","2,010.19","1,965.77","","-0.46%"
"21/03/2023","1,940.15","1,979.17","1,985.30","1,935.41","","-1.95%"
"22/03/2023","1,969.58","1,940.44","1,978.93","1,934.33","","1.52%"
"23/03/2023","1,993.50","1,967.91","2,003.43","1,964.39","","1.21%"
"24/03/2023","1,977.22","1,993.99","2,003.19","1,975.18","","-0.82%"
"27/03/2023","1,956.56","1,977.66","1,979.89","1,943.68","","-1.04%"
"28/03/2023","1,973.69","1,957.23","1,975.45","1,948.66","","0.88%"
"29/03/2023","1,964.04","1,972.82","1,974.64","1,958.62","","-0.49%"
"30/03/2023","1,980.25","1,962.58","1,984.40","1,955.44","","0.83%"
"31/03/2023","1,967.90","1,978.62","1,987.84","1,966.89","","-0.62%"
